Type of plastic,Catalyst used,Feed Quantity,Feed to catalyst ratio,Surface area (m2/g),Pore dia (Å),Pore volume (cm3/g),Calcination temperature (0C),Calcination time (min),Temperature (0C),Inert gas flow rate (mL/min),Residence time (min),Heating rate (0C/min),C (%),H (%),N (%),S (%),O (%),Volatile matter (%),Moisture (%),Ash (%),Fixed Carbon (%),HHV of feed (MJ/kg),HHV of oil (MJ/kg),Oil yield (%),Gas yield (%),Wax(%),SolidResidue/Coke(%),CO (vol. %),CO2 (vol. %),H2 (vol. %),CH4 (vol. %),Reference
LDPE,MCM-41,5,2,962,36.53,0.718,550,180,500,100,,15,,,,,,,,,,,,60.4,15.5,0,23.8,,,,,29
LDPE,MCM-41,5,2,962,36.53,0.718,550,180,550,100,,15,,,,,,,,,,,,69.5,17.3,0,13.3,,,,,29
LDPE,MCM-41,5,2,962,36.53,0.718,550,180,600,100,,15,,,,,,,,,,,,72.9,19.1,0,8,,,,,29
LDPE,MCM-41,5,2,962,36.53,0.718,550,180,650,100,,15,,,,,,,,,,,,78.4,20,0,1.6,,,,,29
PE,P-AC-10% (residence time=3sec),10,2.5,18.7,172.6,0.022,600,90,550,,60,20,,,,,,,,,,,,27,71.8,,,,,,,16
PE,P-AC-20% (residence time=3sec),10,2.5,21,137.7,0.053,600,90,550,,60,20,,,,,,,,,,,,31.2,66.5,,,,,,,16
PE,P-AC-30% (residence time=3sec),10,2.5,62.2,59.4,0.083,600,90,550,,60,20,,,,,,,,,,,,35.1,61.2,,,,,,,16
PE,P-AC-30% (residence time=1sec),10,2.5,62.2,59.4,0.083,600,90,550,,60,20,,,,,,,,,,,,28.4,70,,,,,,,16
PE,P-AC-30% (residence time=2sec),10,2.5,62.2,59.4,0.083,600,90,550,,60,20,,,,,,,,,,,,31.3,66.2,,,,,,,16
PE,P-AC-30% (residence time=4sec),10,2.5,62.2,59.4,0.083,600,90,550,,60,20,,,,,,,,,,,,40.6,55.3,,,,,,,16
PE,P-AC-30% (residence time=5sec),10,2.5,62.2,59.4,0.083,600,90,550,,60,20,,,,,,,,,,,,40.8,54.6,,,,,,,16
PE,P-AC-40% (residence time=3sec),10,2.5,742.9,50,0.86,600,90,550,,60,20,,,,,,,,,,,,37.5,56.4,,,,,,,16
PE,P-AC-50% (residence time=3sec),10,2.5,630.1,57.9,0.851,600,90,550,,60,20,,,,,,,,,,,,41.8,50.5,,,,,,,16
Br-HIPS,HY,10,9,670.97,22.5,0.377,,,410,30,90,10,79.5,6.8,0.1,0,1.1,99.5,0.1,0.4,0,,,33,12,39,16,,,,,31
Br-HIPS,HBeta,10,9,525.04,28.2,0.371,,,410,30,90,10,79.5,6.8,0.1,0,1.1,99.5,0.1,0.4,0,,,33,19.5,28,19.5,,,,,31
Br-HIPS,HZSM-5,10,9,287.27,22.7,0.164,,,410,30,90,10,79.5,6.8,0.1,0,1.1,99.5,0.1,0.4,0,,,52,19,18,11,,,,,31
Br-HIPS,All silica MCM-41,10,9,1091.98,35.1,0.958,,,410,30,90,10,79.5,6.8,0.1,0,1.1,99.5,0.1,0.4,0,,,70,10,8,12,,,,,31
Br-HIPS,Al2O3,10,9,215.52,80.5,0.434,,,410,30,90,10,79.5,6.8,0.1,0,1.1,99.5,0.1,0.4,0,,,61,11,17,11,,,,,31
HDPE,clay catalyst,50,33.12,,,,,,300,,,,,,,,,,,,,,,47.56,35.89,,16.55,,,,,18
HDPE,clay catalyst,50,19,,,,,,200,,,,,,,,,,,,,,,19.23,19.57,,61.2,,,,,18
HDPE,clay catalyst,50,4.86,,,,,,300,,,,,,,,,,,,,,,50.12,39.65,,10.23,,,,,18
HDPE,clay catalyst,50,9,,,,,,441.42,,,,,,,,,,,,,,,21.48,69.68,,8.84,,,,,18
HDPE,clay catalyst,50,9,,,,,,300,,,,,,,,,,,,,,,87.01,1.71,,11.28,,,,,18
HDPE,clay catalyst,50,9,,,,,,300,,,,,,,,,,,,,,,87.27,1.45,,11.27,,,,,18
HDPE,clay catalyst,50,19,,,,,,400,,,,,,,,,,,,,,,38.06,52.57,,9.37,,,,,18
HDPE,clay catalyst,50,9,,,,,,300,,,,,,,,,,,,,,,87.09,1.61,,11.3,,,,,18
HDPE,clay catalyst,50,5.67,,,,,,200,,,,,,,,,,,,,,,22.54,22.01,,55.45,,,,,18
HDPE,clay catalyst,50,9,,,,,,158.58,,,,,,,,,,,,,,,0,1.46,,98.54,,,,,18
HDPE,clay catalyst,50,5.67,,,,,,400,,,,,,,,,,,,,,,37.96,52.02,,10.02,,,,,18
HDPE,clay catalyst,50,9,,,,,,300,,,,,,,,,,,,,,,87.27,1.47,,11.26,,,,,18
HDPE,clay catalyst,50,9,,,,,,300,,,,,,,,,,,,,,,87.02,1.58,,11.4,,,,,18
PP,clay catalyst,,9,,,,,,300,,,,,,,,,,,,,,,60.4,24.92,,14.68,,,,,18
PP,clay catalyst,,5.67,,,,,,200,,,,,,,,,,,,,,,9.36,21.34,,69.3,,,,,18
PP,clay catalyst,,9,,,,,,300,,,,,,,,,,,,,,,60.14,24.66,,15.2,,,,,18
PP,clay catalyst,,9,,,,,,300,,,,,,,,,,,,,,,60.18,24.57,,15.25,,,,,18
PP,clay catalyst,,9,,,,,,300,,,,,,,,,,,,,,,60.36,24.73,,14.91,,,,,18
